"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","IP address","What is a key benefit of using Cyber Threat Intelligence? ","Which of the following is a typical source of Cyber Threat Intelligence?","What is a common use of a threat report in Cyber Threat Intelligence?","What are Indicators of Compromise (IoCs)?","PROLIFICPID","STUDYID","SESSIONID","{if(is_empty(gleichung), rand(3,4), gleichung)} ","   AI Threat Analysis Unit Automated Incident Response System   PRODUCT PREVIEW (LIMITED DETAILS)Critical indicators of compromise (IoCs) and technical signatures are partially hidden in this view. Purchase the full report to unlock all actionable data.   Incident Report: Killnet Group – Preview Summary   Detection &amp; Analysis (Preview)   	Confirmed SYN flood (DoS) attack against an internal server. 	Malicious traffic from a single external IP (REDACTED in preview). 	Activity attributed to Killnet Group based on threat intelligence feeds.     Containment &amp; Mitigation (Preview)   	Attack traffic stopped through network isolation and firewall changes. 	Specific firewall / IPS rules and signatures are not fully visible in this preview.     Outcome   	Attack successfully mitigated; no data exfiltration detected.      🛡️ Actionable Intelligence (Preview)  The full report contains detailed Indicators of Compromise (IoCs) and ready-to-use defenses. In this preview you can see only high-level items:   	Attacker IP: 1 external IPv4 address (REDACTED). 	Attack pattern: specific SYN flood profile against a single service. 	Defensive content: firewall / IPS signatures for Killnet Group SYN floods (details hidden).   Purchase the full report to reveal all redacted indicators and deploy the signatures in your environment.   Report Classification: RESTRICTED PREVIEWIoCs and signatures partially redacted for external buyers.   ","Read the instructions [At a price of 0 Ⓣ]","Read the instructions [At a price of 500 Ⓣ]","Read the instructions [At a price of 1.500 Ⓣ]","Read the instructions [At a price of  2.000 Ⓣ]","Read the instructions [At a price of 2.500 Ⓣ]","Read the instructions [At a price of 3.500 Ⓣ]","Read the instructions [At a price of  4.000 Ⓣ]","Read the instructions [At a price of  4.500 Ⓣ]","Read the instructions [At a price of  5.500 Ⓣ]","Read the instructions [At a price of  6.000 Ⓣ]","Read the instructions [At a price of 6.500 Ⓣ]","Read the instructions [At a price of 7.500 Ⓣ]","Read the instructions [At a price of  8.000 Ⓣ]","Read the instructions [At a price of 8.500 Ⓣ]","Read the instructions [At a price of 9.500 Ⓣ]","Read the instructions [At a price of  10.000 Ⓣ]","Read the instructions [At a price of 10.500 Ⓣ]","Read the instructions [At a price of 11.500 Ⓣ]","Read the instructions [At a price of 12.000 Ⓣ]","Read the instructions [At a price of 12.500 Ⓣ]","Read the instructions [At a price of 13.500 Ⓣ]","Read the instructions [At a price of  14.000 Ⓣ]","Read the instructions [At a price of 14.500 Ⓣ]","Read the instructions [At a price of 15.500 Ⓣ]","Read the instructions [At a price of 16.000 Ⓣ]","Read the instructions [At a price of 16.500 Ⓣ]","Read the instructions [At a price of 17.500 Ⓣ]","Read the instructions [At a price of  18.000 Ⓣ]","Read the instructions [At a price of 18.500 Ⓣ]","Read the instructions [At a price of 19.500 Ⓣ]","Read the instructions [At a price of  20.000 Ⓣ]","Read the instructions [At a price of 20.500 Ⓣ]","Read the instructions [At a price of 21.500 Ⓣ]","Read the instructions [At a price of  22.000 Ⓣ]","Please enter your individual Price: ","Select your confidence ","Read the instructions [At a price of 0 Ⓣ]","Read the instructions [At a price of 500 Ⓣ]","Read the instructions [At a price of 1.500 Ⓣ]","Read the instructions [At a price of  2.000 Ⓣ]","Read the instructions [At a price of 2.500 Ⓣ]","Read the instructions [At a price of 3.500 Ⓣ]","Read the instructions [At a price of  4.000 Ⓣ]","Read the instructions [At a price of  4.500 Ⓣ]","Read the instructions [At a price of  5.500 Ⓣ]","Read the instructions [At a price of  6.000 Ⓣ]","Read the instructions [At a price of 6.500 Ⓣ]","Read the instructions [At a price of 7.500 Ⓣ]","Read the instructions [At a price of  8.000 Ⓣ]","Read the instructions [At a price of 8.500 Ⓣ]","Read the instructions [At a price of 9.500 Ⓣ]","Read the instructions [At a price of  10.000 Ⓣ]","Read the instructions [At a price of 10.500 Ⓣ]","Read the instructions [At a price of 11.500 Ⓣ]","Read the instructions [At a price of 12.000 Ⓣ]","Read the instructions [At a price of 12.500 Ⓣ]","Read the instructions [At a price of 13.500 Ⓣ]","Read the instructions [At a price of  14.000 Ⓣ]","Read the instructions [At a price of 14.500 Ⓣ]","Read the instructions [At a price of 15.500 Ⓣ]","Read the instructions [At a price of 16.000 Ⓣ]","Read the instructions [At a price of 16.500 Ⓣ]","Read the instructions [At a price of 17.500 Ⓣ]","Read the instructions [At a price of  18.000 Ⓣ]","Read the instructions [At a price of 18.500 Ⓣ]","Read the instructions [At a price of 19.500 Ⓣ]","Read the instructions [At a price of  20.000 Ⓣ]","Read the instructions [At a price of 20.500 Ⓣ]","Read the instructions [At a price of 21.500 Ⓣ]","Read the instructions [At a price of  22.000 Ⓣ]","Please enter your individual Price: ","Select your confidence ","Total time","Group time: Screening","Question time: r427q0","Question time: r292q0","Question time: r907q0","Question time: r947q0","Question time: PROLIFICPID","Question time: STUDYID","Question time: SESSIONID","Group time: Einstieg","Question time: gleichung","Group time: Marketplace Offer: Threat Intelligence Report","Question time: q0r552","Group time: Use Case C","Question time: r859q0","Question time: G10Q20","Question time: q0r87","Group time: Use Case D","Question time: r57q0","Question time: r1019q0","Question time: r1013q0"
"69","","-1","en","1561838759","2026-02-19 09:44:44","2026-02-19 09:44:44","90.146.120.150","","","","","6728bbf72d44596955443b92","698c772a8678f5a688e79ca3","6996be533a02ca4eeb843e9f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"70","2026-02-20 00:45:10","5","en","1445640388","2026-02-20 00:38:50","2026-02-20 00:45:10","135.0.211.217","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Metrics to evaluate security tools","69978b33fa1638ee71694b02","698c772a8678f5a688e79ca3","69979efdee4bede37901f9b7","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","376.6","125.22","","","","","","","","","","56.47","","","","","","194.91","","",""
"71","2026-02-21 02:49:51","5","en","511277696","2026-02-21 02:46:44","2026-02-21 02:49:51","75.236.62.229","Preventing attacks by anticipating threats","Physical surveillance cameras","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","698af4bcd3d669a5a450d780","698c772a8678f5a688e79ca3","69990e704389ae11fe526b13","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","","High confidence","181.79","71.74","","","","","","","","","","8.05","","","","","","102","","",""
"72","2026-02-22 17:59:09","5","en","496761079","2026-02-22 17:41:21","2026-02-22 17:59:09","38.248.253.78","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69987de59428163a4d3dab71","698c772a8678f5a688e79ca3","699b3154f66e2eae15391216","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","High confidence","1002.75","336.92","","","","","","","","","","156.86","","","","","","508.97","","",""
"73","2026-02-22 20:48:01","5","en","790697125","2026-02-22 20:44:25","2026-02-22 20:48:01","47.227.237.183","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","699911fcc571af0c181b1c36","698c772a8678f5a688e79ca3","699b5c91ff0309444f5739b4","3","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Some confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211.86","48.39","","","","","","","","","","36.12","","127.35","","","","","","",""
"74","2026-02-23 00:20:33","5","en","1134421882","2026-02-23 00:14:01","2026-02-23 00:20:33","108.73.22.228","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","698ab0170cf4d152d7950a53","698c772a8678f5a688e79ca3","699b8da54765c65615a1e908","3","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387.66","109.55","","","","","","","","","","78.12","","199.99","","","","","","",""
"75","2026-02-23 08:13:27","5","en","1990372473","2026-02-23 08:09:26","2026-02-23 08:13:27","176.163.172.194","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Metrics to evaluate security tools","697a8bdd0bd7923f02b7f3fb","698c772a8678f5a688e79ca3","699bfd210196c68ea64b3500","3","","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Some confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239.27","80.89","","","","","","","","","","48.23","","110.15","","","","","","",""
"76","2026-02-23 23:27:33","5","en","1252187121","2026-02-23 23:22:40","2026-02-23 23:27:33","108.83.247.83","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","694ef74ac5d7b892a42cace9","698c772a8678f5a688e79ca3","699cd31f5bc1672546275cc9","3","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","290.92","61.86","","","","","","","","","","93.88","","135.18","","","","","","",""
"77","2026-02-25 11:33:58","5","en","1325021946","2026-02-25 11:30:25","2026-02-25 11:33:58","2.123.254.233","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Metrics to evaluate security tools","61a74f60a9217c6f76a4d0e4","698c772a8678f5a688e79ca3","699ecf3885023dc92e2d9525","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Little confidence","209.55","45.5","","","","","","","","","","44.17","","","","","","119.88","","",""
"78","2026-02-26 00:33:52","5","en","1519751247","2026-02-26 00:27:50","2026-02-26 00:33:52","38.61.81.3","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","699dd1f76c28c7eae5e0bbea","698c772a8678f5a688e79ca3","699f856c256480f4d1de7b0a","3","","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","","High confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","354.91","86.95","","","","","","","","","","80.74","","187.22","","","","","","",""
"79","2026-02-26 08:22:30","5","en","1323485558","2026-02-26 08:14:59","2026-02-26 08:22:30","38.248.253.196","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","699222c2d49432a3b0dc8a52","698c772a8678f5a688e79ca3","699ff2d65e7defa5ae70c465","3","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434.88","107.9","","","","","","","","","","72.92","","254.06","","","","","","",""
"80","2026-02-26 23:58:34","5","en","1975190279","2026-02-26 23:55:36","2026-02-26 23:58:34","167.248.91.10","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","6945888a52665a08e0cd1633","698c772a8678f5a688e79ca3","69a0cf5ba6ccf6329fc3dd47","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Little confidence","173.39","32.34","","","","","","","","","","48.56","","","","","","92.49","","",""
"81","2026-02-27 07:22:16","5","en","1691533007","2026-02-27 07:12:38","2026-02-27 07:22:16","98.201.92.181","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","699e8cb46054c45347794c84","698c772a8678f5a688e79ca3","69a135a75eb9c9604a2d88ac","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","567.3","282.41","","","","","","","","","","120.3","","","","","","164.59","","",""
"82","2026-03-01 10:22:57","5","en","69168199","2026-03-01 10:16:54","2026-03-01 10:22:57","84.120.35.121","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Security protocols for internal data transfers","69a3ff5df62de1cdf8cd9af4","698c772a8678f5a688e79ca3","69a403b92ba8963a85164193","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Little confidence","358.7","142.36","","","","","","","","","","70.74","","","","","","145.6","","",""
"83","2026-03-03 18:29:49","5","en","328527248","2026-03-03 18:25:41","2026-03-03 18:29:49","89.205.175.85","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Guidelines to prevent insider threats","69a713d0f027e13c742c1312","698c772a8678f5a688e79ca3","69a71975119805edbc23dabd","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","","Confidence","246.89","59.9","","","","","","","","","","18.86","","","","","","168.13","","",""
"84","2026-03-04 16:54:44","5","en","1482798168","2026-03-04 16:51:56","2026-03-04 16:54:44","71.163.164.138","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69a84d7d5afe637d9dc5530c","698c772a8678f5a688e79ca3","69a854c72487f42107d2d60b","3","","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Some confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161.61","58.46","","","","","","","","","","13.04","","90.11","","","","","","",""
"85","2026-03-04 18:57:17","5","en","1993251509","2026-03-04 18:48:44","2026-03-04 18:57:17","108.18.225.165","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69a84912ab47536ec5f1f2fe","698c772a8678f5a688e79ca3","69a8703c93d82be8b630e367","3","","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Some confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","505.3","106.25","","","","","","","","","","207.32","","191.73","","","","","","",""
"86","2026-03-05 10:30:09","5","en","1979142030","2026-03-05 10:27:44","2026-03-05 10:30:09","87.220.213.85","Preventing attacks by anticipating threats","Internal human resources data","Outlining user behavior trends","Guidelines to prevent insider threats","69a942b5061a61006b1d41e9","698c772a8678f5a688e79ca3","69a94c8138f64bccf3475705","3","","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","","Confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136.55","44.2","","","","","","","","","","23.78","","68.57","","","","","","",""
"87","2026-03-05 15:18:07","5","en","293026619","2026-03-05 15:10:42","2026-03-05 15:18:07","91.96.185.160","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","693081c85608e566f11a24be","698c772a8678f5a688e79ca3","69a98edaa8d6a4b6d2771a22","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Some confidence","355.42","126.23","","","","","","","","","","38.89","","","","","","190.3","","",""
"88","2026-03-05 15:24:21","5","en","1493952619","2026-03-05 15:19:05","2026-03-05 15:24:21","184.160.63.204","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69a98a635f668372679cecf2","698c772a8678f5a688e79ca3","69a990b43e0577dd433b64ed","3","","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","High confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310.73","149.2","","","","","","","","","","44.11","","117.42","","","","","","",""
"89","2026-03-05 18:27:35","5","en","442912610","2026-03-05 18:22:56","2026-03-05 18:27:35","69.165.162.111","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69a9a782e0b3dea5503fde52","698c772a8678f5a688e79ca3","69a9bbc702655d9a5f3fb8b5","3","","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","High confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","273.6","55.95","","","","","","","","","","68.04","","149.61","","","","","","",""
"90","2026-03-05 19:08:53","5","en","743405831","2026-03-05 19:05:35","2026-03-05 19:08:53","80.39.180.46","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69a9be323189cb0e52ea00dc","698c772a8678f5a688e79ca3","69a9c5a80d3dff491759988c","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","194.02","40.63","","","","","","","","","","42.37","","","","","","111.02","","",""
"91","2026-03-06 09:01:38","5","en","9693544","2026-03-06 08:59:14","2026-03-06 09:01:38","79.116.216.30","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69a96329f48acb6bd39beb30","698c772a8678f5a688e79ca3","69aa894180043ae315b32a11","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Some confidence","142.9","36.9","","","","","","","","","","47.82","","","","","","58.18","","",""
"92","","-1","en","1626485533","2026-03-06 12:58:00","2026-03-06 12:58:00","155.4.222.54","","","","","69a9d5f18f179237c612286e","698c772a8678f5a688e79ca3","69aac1399b39aa88eff26ccd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"93","2026-03-06 13:02:20","5","en","1753509519","2026-03-06 12:58:01","2026-03-06 13:02:20","155.4.222.54","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69a9d5f18f179237c612286e","698c772a8678f5a688e79ca3","69aac1399b39aa88eff26ccd","3","","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","High confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253.76","76.32","","","","","","","","","","50.43","","127.01","","","","","","",""
"94","2026-03-06 15:07:53","5","en","204120237","2026-03-06 15:05:02","2026-03-06 15:07:53","76.69.118.98","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69aad0cb9b009f54b821081a","698c772a8678f5a688e79ca3","69aadf0437eceb6928900c8a","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","166.94","59.32","","","","","","","","","","21.83","","","","","","85.79","","",""
